;study;use;size;code;condition
80;GSE67059_GPL6947;discovery;103;OV;Rhinovirus
81;GSE2171_GPL201;discovery;34;OV;Human immunodeficiency virus
82;GSE38900_GPL6884;discovery;52;OV;"Influenza virus;Respiratory syncytial virus;Rhinovirus"
83;GSE44228_GPL6884;discovery;72;OV;Human immunodeficiency virus
84;GSE20346_GPL6947;development;44;RB;Unknown bacterium
85;GSE42825_GPL10558;discovery;31;RB;Mycobacterium tuberculosis
86;GSE42826_GPL10558;discovery;63;RB;Mycobacterium tuberculosis
87;GSE42830_GPL10558;discovery;54;RB;Mycobacterium tuberculosis
88;GSE20346_GPL6947;development;37;RV;Influenza virus
89;GSE82050_GPL21185;discovery;39;RV;Influenza virus
90;GSE111368_GPL10558;discovery;239;RV;Influenza virus
91;GSE101702_GPL21185;discovery;159;RV;Influenza virus
92;GSE68310_GPL10558;discovery;232;RV;"Coronavirus;Enterovirus;Influenza virus;Respiratory syncytial virus;Rhinovirus"
93;GSE94916_GPL20844;validation;12;N;COPD
94;GSE101710_GPL10558;validation;20;N;Aging
95;GSE65219_GPL15988;validation;176;N;Aging
96;GSE83864_GPL10558;validation;135;N;Air Pollution
97;GSE69683_GPL13158;validation;333;N;Asthma
98;GSE54837_GPL570;validation;142;N;COPD
99;GSE56766_GPL570;validation;142;N;COPD
100;GSE20680_GPL4133;validation;139;N;Coronary Artery Disease
101;GSE20681_GPL4133;validation;198;N;Coronary Artery Disease
102;GSE703_GPL80;validation;20;N;Hypertension
103;GSE38267_GPL13607;validation;41;N;Hypertension
104;GSE41233_GPL6947;validation;32;N;Obesity
105;GSE69039_GPL10558;validation;18;N;Obesity
106;GSE18897_GPL570;validation;80;N;Obesity
107;GSE23323_GPL6480;validation;44;N;Smoking
108;GSE87005_GPL6480;validation;40;N;Type 2 Diabetes
109;GSE28623_GPL4133;validation;108;OB;Mycobacterium tuberculosis
110;GSE36238_GPL570;validation;18;OB;Mycobacterium tuberculosis
111;GSE64456_GPL10558_1;validation;39;OB;Unknown bacterium
112;GSE64456_GPL10558_2;validation;69;OB;Unknown bacterium
113;GSE65682_GPL13667;validation;225;OB;Unknown bacterium
114;GSE40396_GPL10558;validation;30;OB;"Escherichia coli;Salmonella;Staphylococcus aureus;Unknown"
115;GSE42026_GPL6947;validation;51;OB;Unknown bacterium
116;GSE117827_GPL23126;validation;50;OV;"Coxsackievirus;Enterovirus;Respiratory syncytial virus;Rhinovirus"
117;GSE40184_GPL96;validation;18;OV;Hepatitis C virus
118;GSE40223_GPL10558;validation;10;OV;Hepatitis C virus
119;GSE40396_GPL10558;validation;57;OV;"Adenovirus;Enterovirus;Human herpesvirus 6;Rhinovirus"
120;GSE42026_GPL6947;validation;74;OV;"Influenza virus;Respiratory syncytial virus"
121;GSE51808_GPL13158;validation;56;OV;Dengue virus
122;GSE59312_GPL570;validation;79;OV;Hepatitis C virus
123;GSE81246_GPL17692;validation;48;OV;Human cytomegalovirus
124;GSE94916_GPL20844;validation;12;RB;Unknown bacterium
125;GSE40012_GPL6947;validation;79;RB;Unknown bacterium
126;GSE17156_GPL571;validation;113;RV;"Influenza virus;Respiratory syncytial virus;Rhinovirus"
127;GSE40012_GPL6947;validation;60;RV;Influenza virus
